Leg 1 t,Leg 1 Fz,Leg 1 Gxy,Leg 2 t,Leg 2 Fz,Leg 2 Gxy,Leg 3 t,Leg 3 Fz,Leg 3 Gxy,Leg 4 t,Leg 4 Fz,Leg 4 Gxy,Leg 5 t,Leg 5 Fz,Leg 5 Gxy,Leg 6 t,Leg 6 Fz,Leg 6 Gxy
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.5,0.8,0.3,0.5,0,-0.3,0.5,0.8,0.3,0.5,0,-0.3,0.5,0.8,0.3,0.5,0,-0.3
1,0.5,0.5,1,0,-0.5,1,0.5,0.5,1,0,-0.5,1,0.5,0.5,1,0,-0.5
1.5,0.3,0.8,1.5,0,-0.8,1.5,0.3,0.8,1.5,0,-0.8,1.5,0.3,0.8,1.5,0,-0.8
2,0,1,2,0,-1,2,0,1,2,0,-1,2,0,1,2,0,-1
2.5,0,0.8,2.5,0.3,-0.8,2.5,0,0.8,2.5,0.3,-0.8,2.5,0,0.8,2.5,0.3,-0.8
3,0,0.5,3,0.5,-0.5,3,0,0.5,3,0.5,-0.5,3,0,0.5,3,0.5,-0.5
3.5,0,0.3,3.5,0.8,-0.3,3.5,0,0.3,3.5,0.8,-0.3,3.5,0,0.3,3.5,0.8,-0.3
4,0,0,4,1,0,4,0,0,4,1,0,4,0,0,4,1,0
4.5,0,-0.3,4.5,0.8,0.3,4.5,0,-0.3,4.5,0.8,0.3,4.5,0,-0.3,4.5,0.8,0.3
5,0,-0.5,5,0.5,0.5,5,0,-0.5,5,0.5,0.5,5,0,-0.5,5,0.5,0.5
5.5,0,-0.8,5.5,0.3,0.8,5.5,0,-0.8,5.5,0.3,0.8,5.5,0,-0.8,5.5,0.3,0.8
6,0,-1,6,0,1,6,0,-1,6,0,1,6,0,-1,6,0,1
6.5,0.3,-0.8,6.5,0,0.8,6.5,0.3,-0.8,6.5,0,0.8,6.5,0.3,-0.8,6.5,0,0.8
7,0.5,-0.5,7,0,0.5,7,0.5,-0.5,7,0,0.5,7,0.5,-0.5,7,0,0.5
7.5,0.8,-0.3,7.5,0,0.3,7.5,0.8,-0.3,7.5,0,0.3,7.5,0.8,-0.3,7.5,0,0.3
